ANO,DISTRITO,CONCELHO,NCCO
2013,Aveiro,Albergaria-a-Velha,99
2013,Aveiro,Anadia,41
2013,Aveiro,Arouca,128
2013,Aveiro,Aveiro,88
2013,Aveiro,Castelo de Paiva,74
2013,Aveiro,Espinho,60
2013,Aveiro,Estarreja,38
2013,Aveiro,Mealhada,31
2013,Aveiro,Murtosa,10
2013,Aveiro,Oliveira de Azeméis,92
2013,Aveiro,Oliveira do Bairro,43
2013,Aveiro,Ovar,63
2013,Aveiro,Santa Maria da Feira,239
2013,Aveiro,Sever do Vouga,118
2013,Aveiro,São João da Madeira,5
2013,Aveiro,Vagos,39
2013,Aveiro,Vale de Cambra,190
2013,Aveiro,Águeda,224
2013,Aveiro,Ílhavo,33
2013,Beja,Aljustrel,30
2013,Beja,Almodôvar,14
2013,Beja,Barrancos,2
2013,Beja,Beja,119
2013,Beja,Castro Verde,20
2013,Beja,Cuba,3
2013,Beja,Ferreira do Alentejo,19
2013,Beja,Moura,60
2013,Beja,Mértola,15
2013,Beja,Odemira,52
2013,Beja,Ourique,14
2013,Beja,Serpa,27
2013,Beja,Vidigueira,31
2013,Braga,Amares,58
2013,Braga,Barcelos,196
2013,Braga,Braga,184
2013,Braga,Cabeceiras de Basto,139
2013,Braga,Celorico de Basto,282
2013,Braga,Esposende,24
2013,Braga,Fafe,250
2013,Braga,Guimarães,272
2013,Braga,Póvoa de Lanhoso,187
2013,Braga,Terras de Bouro,67
2013,Braga,Vieira do Minho,121
2013,Braga,Vila Nova de Famalicão,235
2013,Braga,Vila Verde,247
2013,Braga,Vizela,37
2013,Bragança,Alfândega da Fé,25
2013,Bragança,Bragança,74
2013,Bragança,Carrazeda de Ansiães,44
2013,Bragança,Freixo de Espada à Cinta,29
2013,Bragança,Macedo de Cavaleiros,60
2013,Bragança,Miranda do Douro,22
2013,Bragança,Mirandela,80
2013,Bragança,Mogadouro,26
2013,Bragança,Torre de Moncorvo,42
2013,Bragança,Vila Flor,28
2013,Bragança,Vimioso,19
2013,Bragança,Vinhais,56
2013,Castelo Branco,Belmonte,18
2013,Castelo Branco,Castelo Branco,70
2013,Castelo Branco,Covilhã,93
2013,Castelo Branco,Fundão,112
2013,Castelo Branco,Idanha-a-Nova,53
2013,Castelo Branco,Oleiros,7
2013,Castelo Branco,Penamacor,23
2013,Castelo Branco,Proença-a-Nova,18
2013,Castelo Branco,Sertã,51
2013,Castelo Branco,Vila de Rei,6
2013,Castelo Branco,Vila Velha de Ródão,20
2013,Coimbra,Arganil,57
2013,Coimbra,Cantanhede,69
2013,Coimbra,Coimbra,88
2013,Coimbra,Condeixa-a-Nova,22
2013,Coimbra,Figueira da Foz,89
2013,Coimbra,Góis,18
2013,Coimbra,Lousã,25
2013,Coimbra,Mira,36
2013,Coimbra,Miranda do Corvo,43
2013,Coimbra,Montemor-o-Velho,56
2013,Coimbra,Oliveira do Hospital,81
2013,Coimbra,Pampilhosa da Serra,28
2013,Coimbra,Penacova,115
2013,Coimbra,Penela,24
2013,Coimbra,Soure,32
2013,Coimbra,Tábua,46
2013,Coimbra,Vila Nova de Poiares,28
2013,Faro,Albufeira,40
2013,Faro,Alcoutim,11
2013,Faro,Aljezur,7
2013,Faro,Castro Marim,11
2013,Faro,Faro,32
2013,Faro,lagoa,25
2013,Faro,Lagos,24
2013,Faro,Loulé,76
2013,Faro,Monchique,9
2013,Faro,Olhão,33
2013,Faro,Portimão,33
2013,Faro,Silves,78
2013,Faro,São Brás de Alportel,11
2013,Faro,Tavira,42
2013,Faro,Vila do Bispo,13
2013,Faro,Vila Real de Santo António,8
2013,Guarda,Aguiar da Beira,24
2013,Guarda,Almeida,20
2013,Guarda,Celorico da Beira,24
2013,Guarda,Figueira de Castelo Rodrigo,57
2013,Guarda,Fornos de Algodres,17
2013,Guarda,Gouveia,67
2013,Guarda,Guarda,47
2013,Guarda,Manteigas,1
2013,Guarda,mêda,54
2013,Guarda,Pinhel,48
2013,Guarda,Sabugal,44
2013,Guarda,Seia,60
2013,Guarda,Trancoso,61
2013,Guarda,Vila Nova de Foz Côa,52
2013,Leiria,Alcobaça,92
2013,Leiria,Alvaiázere,20
2013,Leiria,Ansião,16
2013,Leiria,Batalha,10
2013,Leiria,Bombarral,32
2013,Leiria,Caldas da Rainha,76
2013,Leiria,Castanheira de Pêra,13
2013,Leiria,Figueiró dos Vinhos,20
2013,Leiria,Leiria,135
2013,Leiria,Marinha Grande,34
2013,Leiria,Nazaré,14
2013,Leiria,Pedrógão Grande,29
2013,Leiria,Peniche,51
2013,Leiria,Pombal,87
2013,Leiria,Porto de Mós,50
2013,Leiria,Óbidos,38
2013,Lisboa,Alenquer,117
2013,Lisboa,Amadora,64
2013,Lisboa,Arruda dos Vinhos,67
2013,Lisboa,Azambuja,93
2013,Lisboa,Cadaval,41
2013,Lisboa,Cascais,73
2013,Lisboa,Lisboa,125
2013,Lisboa,Loures,135
2013,Lisboa,Lourinhã,59
2013,Lisboa,Mafra,118
2013,Lisboa,Odivelas,157
2013,Lisboa,Oeiras,76
2013,Lisboa,Sintra,279
2013,Lisboa,Sobral de Monte Agraço,41
2013,Lisboa,Torres Vedras,200
2013,Lisboa,Vila Franca de Xira,81
2013,Portalegre,Alter do Chão,9
2013,Portalegre,Arronches,8
2013,Portalegre,Avis,12
2013,Portalegre,Campo Maior,31
2013,Portalegre,Castelo de Vide,6
2013,Portalegre,Crato,7
2013,Portalegre,Elvas,67
2013,Portalegre,Fronteira,11
2013,Portalegre,Gavião,16
2013,Portalegre,Marvão,10
2013,Portalegre,Monforte,5
2013,Portalegre,Nisa,26
2013,Portalegre,Ponte de Sor,32
2013,Portalegre,Portalegre,12
2013,Portalegre,Sousel,4
2013,Porto,Amarante,562
2013,Porto,Baião,220
2013,Porto,Felgueiras,402
2013,Porto,Gondomar,500
2013,Porto,Lousada,348
2013,Porto,Maia,251
2013,Porto,Marco de Canaveses,446
2013,Porto,Matosinhos,96
2013,Porto,Paredes,808
2013,Porto,Paços de Ferreira,400
2013,Porto,Penafiel,670
2013,Porto,Porto,1
2013,Porto,Póvoa de Varzim,124
2013,Porto,Santo Tirso,443
2013,Porto,Trofa,92
2013,Porto,Valongo,181
2013,Porto,Vila do Conde,210
2013,Porto,Vila Nova de Gaia,477
2013,Santarém,Abrantes,62
2013,Santarém,Alcanena,25
2013,Santarém,Almeirim,30
2013,Santarém,Alpiarça,19
2013,Santarém,Benavente,53
2013,Santarém,Cartaxo,32
2013,Santarém,Chamusca,48
2013,Santarém,Constância,9
2013,Santarém,Coruche,49
2013,Santarém,Entroncamento,11
2013,Santarém,Ferreira do Zêzere,11
2013,Santarém,Golegã,5
2013,Santarém,Mação,15
2013,Santarém,Ourém,57
2013,Santarém,Rio Maior,40
2013,Santarém,Salvaterra de Magos,30
2013,Santarém,Santarém,136
2013,Santarém,Sardoal,9
2013,Santarém,Tomar,104
2013,Santarém,Torres Novas,65
2013,Santarém,Vila Nova da Barquinha,18
2013,Setúbal,Alcochete,26
2013,Setúbal,Alcácer do Sal,14
2013,Setúbal,Almada,100
2013,Setúbal,Barreiro,58
2013,Setúbal,Grândola,30
2013,Setúbal,Moita,108
2013,Setúbal,Montijo,100
2013,Setúbal,Palmela,152
2013,Setúbal,Santiago do Cacém,40
2013,Setúbal,Seixal,109
2013,Setúbal,Sesimbra,46
2013,Setúbal,Setúbal,88
2013,Setúbal,Sines,26
2013,Viana do Castelo,Arcos de Valdevez,291
2013,Viana do Castelo,Caminha,139
2013,Viana do Castelo,Melgaço,68
2013,Viana do Castelo,Monção,174
2013,Viana do Castelo,Paredes de Coura,104
2013,Viana do Castelo,Ponte da Barca,233
2013,Viana do Castelo,Ponte de Lima,364
2013,Viana do Castelo,Valença,195
2013,Viana do Castelo,Viana do Castelo,239
