,ANO,CONCELHO,NCCO
0,2013,Abrantes,62
1,2013,Aguiar da Beira,24
2,2013,Alandroal,13
3,2013,Albergaria-a-Velha,98
4,2013,Albergaria-a-velha,1
5,2013,Albufeira,40
6,2013,Alcanena,25
7,2013,Alcobaça,92
8,2013,Alcochete,26
9,2013,Alcoutim,11
10,2013,Alcácer Do Sal,12
11,2013,Alcácer do Sal,2
12,2013,Alenquer,117
13,2013,Alfândega Da Fé,1
14,2013,Alfândega da Fé,24
15,2013,Alijó,71
16,2013,Aljezur,7
17,2013,Aljustrel,30
18,2013,Almada,100
19,2013,Almeida,20
20,2013,Almeirim,30
21,2013,Almodôvar,14
22,2013,Alpiarça,19
23,2013,Alter do Chão,9
24,2013,Alvaiázere,20
25,2013,Amadora,64
26,2013,Amarante,562
27,2013,Amares,58
28,2013,Anadia,41
29,2013,Ansião,16
30,2013,Arcos De Valdevez,20
31,2013,Arcos de Valdevez,271
32,2013,Arganil,57
33,2013,Armamar,20
34,2013,Arouca,128
35,2013,Arraiolos,10
36,2013,Arronches,8
37,2013,Arruda dos Vinhos,67
38,2013,Aveiro,88
39,2013,Avis,12
40,2013,Azambuja,93
41,2013,Baião,220
42,2013,Barcelos,196
43,2013,Barrancos,2
44,2013,Barreiro,58
45,2013,Batalha,10
46,2013,Beja,119
47,2013,Belmonte,18
48,2013,Benavente,53
49,2013,Bombarral,32
50,2013,Borba,6
51,2013,Boticas,110
52,2013,Braga,184
53,2013,Bragança,74
54,2013,Cabeceiras De Basto,19
55,2013,Cabeceiras de Basto,120
56,2013,Cadaval,41
57,2013,Caldas Da Rainha,17
58,2013,Caldas da Rainha,59
59,2013,Caminha,139
60,2013,Campo Maior,31
61,2013,Cantanhede,69
62,2013,Carrazeda de Ansiães,44
63,2013,Carregal do Sal,30
64,2013,Cartaxo,32
65,2013,Cascais,73
66,2013,Castanheira de Pêra,13
67,2013,Castelo Branco,70
68,2013,Castelo De Vide,1
69,2013,Castelo de Paiva,74
70,2013,Castelo de Vide,5
71,2013,Castro Daire,179
72,2013,Castro Marim,11
73,2013,Castro Verde,20
74,2013,Celorico De Basto,57
75,2013,Celorico da Beira,24
76,2013,Celorico de Basto,225
77,2013,Chamusca,48
78,2013,Chaves,191
79,2013,Cinfães,262
80,2013,Coimbra,88
81,2013,Condeixa-a-Nova,20
82,2013,Condeixa-a-nova,2
83,2013,Constância,9
84,2013,Coruche,49
85,2013,Covilhã,93
86,2013,Crato,7
87,2013,Cuba,3
88,2013,Elvas,67
89,2013,Entroncamento,11
90,2013,Espinho,60
91,2013,Esposende,24
92,2013,Estarreja,38
93,2013,Estremoz,22
94,2013,Fafe,250
95,2013,Faro,32
96,2013,Felgueiras,402
97,2013,Ferreira do Alentejo,19
98,2013,Ferreira do Zêzere,11
99,2013,Figueira Da Foz,3
100,2013,Figueira da Foz,86
101,2013,Figueira de Castelo Rodrigo,57
102,2013,Figueiró dos Vinhos,20
103,2013,Fornos de Algodres,17
104,2013,Freixo de Espada à Cinta,29
105,2013,Fronteira,11
106,2013,Fundão,112
107,2013,Gavião,16
108,2013,Golegã,5
109,2013,Gondomar,500
110,2013,Gouveia,67
111,2013,Grândola,30
112,2013,Guarda,47
113,2013,Guimarães,272
114,2013,Góis,18
115,2013,Idanha-a-Nova,53
116,2013,Lagoa,25
117,2013,Lagos,24
118,2013,Lamego,153
119,2013,Leiria,135
120,2013,Lisboa,125
121,2013,Loulé,76
122,2013,Loures,135
123,2013,Lourinhã,59
124,2013,Lousada,348
125,2013,Lousã,25
126,2013,Macedo De Cavaleiros,8
127,2013,Macedo de Cavaleiros,52
128,2013,Mafra,118
129,2013,Maia,251
130,2013,Mangualde,74
131,2013,Manteigas,1
132,2013,Marco De Canaveses,18
133,2013,Marco de Canaveses,428
134,2013,Marinha Grande,34
135,2013,Marvão,10
136,2013,Matosinhos,96
137,2013,Mação,15
