,ANO,DISTRITO,CONCELHO,NCCO
0,2013.0,Aveiro,Albergaria-a-Velha,98
1,2013.0,Aveiro,Albergaria-a-velha,1
2,2013.0,Aveiro,Anadia,41
3,2013.0,Aveiro,Arouca,128
4,2013.0,Aveiro,Aveiro,88
5,2013.0,Aveiro,Castelo de Paiva,74
6,2013.0,Aveiro,Espinho,60
7,2013.0,Aveiro,Estarreja,38
8,2013.0,Aveiro,Mealhada,31
9,2013.0,Aveiro,Murtosa,10
10,2013.0,Aveiro,Oliveira De Azeméis,3
11,2013.0,Aveiro,Oliveira de Azeméis,89
12,2013.0,Aveiro,Oliveira do Bairro,43
13,2013.0,Aveiro,Ovar,63
14,2013.0,Aveiro,Santa Maria Da Feira,3
15,2013.0,Aveiro,Santa Maria da Feira,236
16,2013.0,Aveiro,Sever Do Vouga,1
17,2013.0,Aveiro,Sever do Vouga,117
18,2013.0,Aveiro,São João da Madeira,5
19,2013.0,Aveiro,Vagos,39
20,2013.0,Aveiro,Vale De Cambra,2
21,2013.0,Aveiro,Vale de Cambra,188
22,2013.0,Aveiro,Águeda,224
23,2013.0,Aveiro,Ílhavo,33
24,2013.0,Beja,Aljustrel,30
25,2013.0,Beja,Almodôvar,14
26,2013.0,Beja,Barrancos,2
27,2013.0,Beja,Beja,119
28,2013.0,Beja,Castro Verde,20
29,2013.0,Beja,Cuba,3
30,2013.0,Beja,Ferreira do Alentejo,19
31,2013.0,Beja,Moura,60
32,2013.0,Beja,Mértola,15
33,2013.0,Beja,Odemira,52
34,2013.0,Beja,Ourique,14
35,2013.0,Beja,Serpa,27
36,2013.0,Beja,Vidigueira,31
37,2013.0,Braga,Amares,58
38,2013.0,Braga,Barcelos,196
39,2013.0,Braga,Braga,184
40,2013.0,Braga,Cabeceiras De Basto,19
41,2013.0,Braga,Cabeceiras de Basto,120
42,2013.0,Braga,Celorico De Basto,57
43,2013.0,Braga,Celorico de Basto,225
44,2013.0,Braga,Esposende,24
45,2013.0,Braga,Fafe,250
46,2013.0,Braga,Guimarães,272
47,2013.0,Braga,Póvoa De Lanhoso,13
48,2013.0,Braga,Póvoa de Lanhoso,174
49,2013.0,Braga,Terras De Bouro,35
50,2013.0,Braga,Terras de Bouro,32
51,2013.0,Braga,VIZELA,2
52,2013.0,Braga,Vieira Do Minho,4
53,2013.0,Braga,Vieira do Minho,117
54,2013.0,Braga,Vila Nova De Famalicão,25
55,2013.0,Braga,Vila Nova de Famalicão,210
56,2013.0,Braga,Vila Verde,247
57,2013.0,Braga,Vizela,35
58,2013.0,Bragança,Alfândega Da Fé,1
59,2013.0,Bragança,Alfândega da Fé,24
60,2013.0,Bragança,Bragança,74
61,2013.0,Bragança,Carrazeda de Ansiães,44
62,2013.0,Bragança,Freixo de Espada à Cinta,29
63,2013.0,Bragança,Macedo De Cavaleiros,8
64,2013.0,Bragança,Macedo de Cavaleiros,52
65,2013.0,Bragança,Miranda do Douro,22
66,2013.0,Bragança,Mirandela,80
67,2013.0,Bragança,Mogadouro,26
68,2013.0,Bragança,Torre De Moncorvo,5
69,2013.0,Bragança,Torre de Moncorvo,37
70,2013.0,Bragança,Vila FLor,28
71,2013.0,Bragança,Vimioso,19
72,2013.0,Bragança,Vinhais,56
73,2013.0,Castelo Branco,Belmonte,18
74,2013.0,Castelo Branco,Castelo Branco,70
75,2013.0,Castelo Branco,Covilhã,93
76,2013.0,Castelo Branco,Fundão,112
77,2013.0,Castelo Branco,Idanha-a-Nova,53
78,2013.0,Castelo Branco,Oleiros,7
79,2013.0,Castelo Branco,Penamacor,23
80,2013.0,Castelo Branco,Proença-a-Nova,18
81,2013.0,Castelo Branco,Sertã,51
82,2013.0,Castelo Branco,Vila Velha De Ródão,6
83,2013.0,Castelo Branco,Vila Velha de Ródão,14
84,2013.0,Castelo Branco,Vila de Rei,6
85,2013.0,Coimbra,Arganil,57
86,2013.0,Coimbra,Cantanhede,69
87,2013.0,Coimbra,Coimbra,88
88,2013.0,Coimbra,Condeixa-a-Nova,20
89,2013.0,Coimbra,Condeixa-a-nova,2
90,2013.0,Coimbra,Figueira Da Foz,3
91,2013.0,Coimbra,Figueira da Foz,86
92,2013.0,Coimbra,Góis,18
93,2013.0,Coimbra,Lousã,25
94,2013.0,Coimbra,Mira,36
95,2013.0,Coimbra,Miranda do Corvo,43
96,2013.0,Coimbra,Montemor-o-Velho,54
97,2013.0,Coimbra,Montemor-o-velho,2
98,2013.0,Coimbra,Oliveira Do Hospital,8
99,2013.0,Coimbra,Oliveira do Hospital,73
100,2013.0,Coimbra,Pampilhosa da Serra,28
101,2013.0,Coimbra,Penacova,115
102,2013.0,Coimbra,Penela,24
103,2013.0,Coimbra,Soure,32
104,2013.0,Coimbra,Tábua,46
105,2013.0,Coimbra,Vila Nova de Poiares,28
106,2013.0,Faro,Albufeira,40
107,2013.0,Faro,Alcoutim,11
108,2013.0,Faro,Aljezur,7
109,2013.0,Faro,Castro Marim,11
110,2013.0,Faro,Faro,32
111,2013.0,Faro,Lagoa,25
112,2013.0,Faro,Lagos,24
113,2013.0,Faro,Loulé,76
114,2013.0,Faro,Monchique,9
115,2013.0,Faro,Olhão,33
116,2013.0,Faro,Portimão,33
117,2013.0,Faro,Silves,78
118,2013.0,Faro,São Brás de Alportel,11
119,2013.0,Faro,Tavira,42
120,2013.0,Faro,Vila Real de Santo António,8
121,2013.0,Faro,Vila do Bispo,13
122,2013.0,Guarda,Aguiar da Beira,24
123,2013.0,Guarda,Almeida,20
124,2013.0,Guarda,Celorico da Beira,24
125,2013.0,Guarda,Figueira de Castelo Rodrigo,57
126,2013.0,Guarda,Fornos de Algodres,17
127,2013.0,Guarda,Gouveia,67
128,2013.0,Guarda,Guarda,47
129,2013.0,Guarda,Manteigas,1
130,2013.0,Guarda,Mêda,54
131,2013.0,Guarda,Pinhel,48
132,2013.0,Guarda,Sabugal,44
133,2013.0,Guarda,Seia,60
134,2013.0,Guarda,Trancoso,61
135,2013.0,Guarda,Vila Nova De Foz Côa,52
136,2013.0,Leiria,Alcobaça,92
137,2013.0,Leiria,Alvaiázere,20
138,2013.0,Leiria,Ansião,16
139,2013.0,Leiria,Batalha,10
140,2013.0,Leiria,Bombarral,32
141,2013.0,Leiria,Caldas Da Rainha,17
142,2013.0,Leiria,Caldas da Rainha,59
143,2013.0,Leiria,Castanheira de Pêra,13
144,2013.0,Leiria,Figueiró dos Vinhos,20
145,2013.0,Leiria,Leiria,135
146,2013.0,Leiria,Marinha Grande,34
147,2013.0,Leiria,Nazaré,14
148,2013.0,Leiria,Pedrógão Grande,29
149,2013.0,Leiria,Peniche,51
150,2013.0,Leiria,Pombal,87
151,2013.0,Leiria,Porto De Mós,5
152,2013.0,Leiria,Porto de Mós,45
153,2013.0,Leiria,Óbidos,38
154,2013.0,Lisboa,Alenquer,117
155,2013.0,Lisboa,Amadora,64
156,2013.0,Lisboa,Arruda dos Vinhos,67
157,2013.0,Lisboa,Azambuja,93
158,2013.0,Lisboa,Cadaval,41
159,2013.0,Lisboa,Cascais,73
160,2013.0,Lisboa,Lisboa,125
161,2013.0,Lisboa,Loures,135
162,2013.0,Lisboa,Lourinhã,59
163,2013.0,Lisboa,Mafra,118
164,2013.0,Lisboa,ODIVELAS,55
165,2013.0,Lisboa,Odivelas,102
166,2013.0,Lisboa,Oeiras,76
167,2013.0,Lisboa,Sintra,279
168,2013.0,Lisboa,Sobral De Monte Agraço,28
169,2013.0,Lisboa,Sobral de Monte Agraço,13
170,2013.0,Lisboa,Torres Vedras,200
171,2013.0,Lisboa,Vila Franca de Xira,81
172,2013.0,Portalegre,Alter do Chão,9
173,2013.0,Portalegre,Arronches,8
174,2013.0,Portalegre,Avis,12
175,2013.0,Portalegre,Campo Maior,31
176,2013.0,Portalegre,Castelo De Vide,1
177,2013.0,Portalegre,Castelo de Vide,5
178,2013.0,Portalegre,Crato,7
179,2013.0,Portalegre,Elvas,67
180,2013.0,Portalegre,Fronteira,11
181,2013.0,Portalegre,Gavião,16
182,2013.0,Portalegre,Marvão,10
183,2013.0,Portalegre,Monforte,5
184,2013.0,Portalegre,Nisa,26
185,2013.0,Portalegre,Ponte de Sor,32
186,2013.0,Portalegre,Portalegre,12
187,2013.0,Portalegre,Sousel,4
188,2013.0,Porto,Amarante,562
189,2013.0,Porto,Baião,220
190,2013.0,Porto,Felgueiras,402
191,2013.0,Porto,Gondomar,500
192,2013.0,Porto,Lousada,348
193,2013.0,Porto,Maia,251
194,2013.0,Porto,Marco De Canaveses,18
195,2013.0,Porto,Marco de Canaveses,428
196,2013.0,Porto,Matosinhos,96
197,2013.0,Porto,Paredes,808
198,2013.0,Porto,Paços De Ferreira,2
199,2013.0,Porto,Paços de Ferreira,398
200,2013.0,Porto,Penafiel,670
201,2013.0,Porto,Porto,1
202,2013.0,Porto,Póvoa De Varzim,16
203,2013.0,Porto,Póvoa de Varzim,108
204,2013.0,Porto,Santo Tirso,443
205,2013.0,Porto,TROFA,40
206,2013.0,Porto,Trofa,52
207,2013.0,Porto,Valongo,181
208,2013.0,Porto,Vila Do Conde,1
209,2013.0,Porto,Vila Nova De Gaia,55
210,2013.0,Porto,Vila Nova de Gaia,422
211,2013.0,Porto,Vila do Conde,209
212,2013.0,Santarém,Abrantes,62
213,2013.0,Santarém,Alcanena,25
214,2013.0,Santarém,Almeirim,30
215,2013.0,Santarém,Alpiarça,19
216,2013.0,Santarém,Benavente,53
217,2013.0,Santarém,Cartaxo,32
218,2013.0,Santarém,Chamusca,48
219,2013.0,Santarém,Constância,9
220,2013.0,Santarém,Coruche,49
221,2013.0,Santarém,Entroncamento,11
222,2013.0,Santarém,Ferreira do Zêzere,11
223,2013.0,Santarém,Golegã,5
224,2013.0,Santarém,Mação,15
225,2013.0,Santarém,Ourém,57
226,2013.0,Santarém,Rio Maior,40
227,2013.0,Santarém,Salvaterra de Magos,30
228,2013.0,Santarém,Santarém,136
229,2013.0,Santarém,Sardoal,9
230,2013.0,Santarém,Tomar,104
231,2013.0,Santarém,Torres Novas,65
232,2013.0,Santarém,Vila Nova da Barquinha,18
233,2013.0,Setúbal,Alcochete,26
234,2013.0,Setúbal,Alcácer Do Sal,12
235,2013.0,Setúbal,Alcácer do Sal,2
236,2013.0,Setúbal,Almada,100
237,2013.0,Setúbal,Barreiro,58
238,2013.0,Setúbal,Grândola,30
239,2013.0,Setúbal,Moita,108
240,2013.0,Setúbal,Montijo,100
241,2013.0,Setúbal,Palmela,152
242,2013.0,Setúbal,Santiago do Cacém,40
243,2013.0,Setúbal,Seixal,109
244,2013.0,Setúbal,Sesimbra,46
245,2013.0,Setúbal,Setúbal,88
246,2013.0,Setúbal,Sines,26
247,2013.0,Viana Do Castelo,Arcos De Valdevez,20
248,2013.0,Viana Do Castelo,Caminha,6
249,2013.0,Viana Do Castelo,Melgaço,1
250,2013.0,Viana Do Castelo,Paredes De Coura,8
251,2013.0,Viana Do Castelo,Ponte Da Barca,40
252,2013.0,Viana Do Castelo,Ponte De Lima,24
253,2013.0,Viana Do Castelo,Valença,32
254,2013.0,Viana Do Castelo,Viana Do Castelo,42
255,2013.0,Viana Do Castelo,Vila Nova De Cerveira,1
256,2013.0,Viana do Castelo,Arcos de Valdevez,271
257,2013.0,Viana do Castelo,Caminha,133
258,2013.0,Viana do Castelo,Melgaço,67
259,2013.0,Viana do Castelo,Monção,174
260,2013.0,Viana do Castelo,Paredes de Coura,96
261,2013.0,Viana do Castelo,Ponte da Barca,193
262,2013.0,Viana do Castelo,Ponte de Lima,340
263,2013.0,Viana do Castelo,Valença,163
264,2013.0,Viana do Castelo,Viana do Castelo,197
265,2013.0,Viana do Castelo,Vila Nova de Cerveira,74
266,2013.0,Vila Real,Alijó,71
267,2013.0,Vila Real,Boticas,110
268,2013.0,Vila Real,Chaves,191
269,2013.0,Vila Real,Mesão Frio,10
270,2013.0,Vila Real,Mesão frio,9
271,2013.0,Vila Real,Mondim De Basto,1
272,2013.0,Vila Real,Mondim de Basto,27
273,2013.0,Vila Real,Montalegre,239
274,2013.0,Vila Real,Murça,46
275,2013.0,Vila Real,Peso da Régua,45
276,2013.0,Vila Real,Ribeira De Pena,34
277,2013.0,Vila Real,Ribeira de Pena,44
278,2013.0,Vila Real,Sabrosa,20
279,2013.0,Vila Real,Santa Marta De Penaguião,7
280,2013.0,Vila Real,Santa Marta de Penaguião,24
281,2013.0,Vila Real,Valpaços,127
282,2013.0,Vila Real,Vila Pouca de Aguiar,121
283,2013.0,Vila Real,Vila Real,155
284,2013.0,Viseu,Armamar,20
285,2013.0,Viseu,Carregal do Sal,30
286,2013.0,Viseu,Castro Daire,179
287,2013.0,Viseu,Cinfães,262
